SNAPSHOT_TIME;SAMPLES;PCT;HOST;PORT;NM;STATEMENT_HASH;THREAD_TYPE;THREAD_STATE;LOCK_NAME;THREAD_METHOD;THREAD_DETAIL;DB_USER;APP_NAME;APP_USER;APP_SOURCE;LOCKS_OWNED;CLIENT_IP;ROOT_STATEMENT_HASH
2021/07/11 16:15:00;     24; 19.04;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Running;?;PredicateEvaluatorJob;PredicateEvaluatorJob;SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;     11;  8.73;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Running;?;AE/getValues SliceJob;on table S4R::SAPABAP1:_SYS_SPLIT_ACDOCA~37 (t 227234);SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      7;  5.55;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;SqlExecutor;Job Exec Waiting;CSPlanExecutorWaitForResult;ExecutePrepared;"SELECT 	 ""AUDIT_TRA"" AS ""K____376"", 	 ""BPC_CATG"" AS ""K____221"", 	 ""KTOPL"" AS ""K____223"", 	 ""RCNTR"" AS ""K____230"", 	 ""KOKRS"" AS ""K____233"", 	 ""ENTITY"" AS ""K____362"", 	 ""RMVCT"" AS ""K____364"", 	 ""RACCT"" AS ""K____247"", 	 ""PENTITY"" AS ""K____368"", 	 ""PRCTR"" AS ";SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      7;  5.55;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Job Exec Waiting;CSPlanExecutorWaitForResult;PlanExecutor calc;plan4076084@sg11scbh1rrd0.hec.standardchartered.com:30043/pop3 (RowPlanOperator);SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      3;  2.38;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Job Exec Waiting;JobBarrier Wait for Jobs;PlanExecutor calc;plan4076098@sg11scbh1rrd0.hec.standardchartered.com:30043/pop248 (JECreateNTuple);SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      2;  1.58;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Job Exec Waiting;CSPlanExecutorWaitForResult;PlanExecutor calc;plan4076084@sg11scbh1rrd0.hec.standardchartered.com:30043/pop5 (RowPlanOperator);SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      2;  1.58;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Running;?;ParallelLoopWithEqJob;stripeFrom: 4 stripeTo: 6;SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      1;  0.79;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Job Exec Waiting;JobBarrier Wait for Jobs;PlanExecutor calc;plan4076098@sg11scbh1rrd0.hec.standardchartered.com:30043/pop234 (JEDistinctAttribute);SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      1;  0.79;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Running;?;ParallelLoopWithEqJob;stripeFrom: 17 stripeTo: 18;SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
2021/07/11 16:15:00;      1;  0.79;sg11scbh1rrd0.hec.standardchartered.com;30043;an;00d8cfc8d7abfeba45a94d2ea5eb1145;JobWorker;Running;?;ParallelLoopWithEqJob;stripeFrom: 7 stripeTo: 8;SAPABAP1;ABAP:S4R;SAP47327821;CL_SQL_STATEMENT==============CP:500;;192.168.0.131;00d8cfc8d7abfeba45a94d2ea5eb1145
